BD3G06090	BD2G18677	OS05G45890
SB02G009180	SB04G004170	BD4G19610
SB02G009787	SB02G009780	BD1G52670
SB02G038220	SB01G028670	BD1G22770
SB01G028110	SB07G019070	BD3G34370
SB04G034570	SB04G034560	BD3G57580
SB01G002610	SB01G002595	BD1G03220
SB09G029780	SB09G029770	BD3G01310
SB04G029950	SB05G003970	BD3G53310
SB02G026120	SB02G026125	BD4G31640
SB04G004420	SB04G004416	BD3G04900
SB05G002180	SB05G002190	BD4G43517
SB04G035510	SB02G042475	BD1G18250
SB01G012840	SB01G045020	BD1G13190
SB01G009960	SB01G009970	BD1G10550
SB02G034710	SB02G034700	BD1G26250
SB08G017784	SB04G010196	BD1G46900
SB06G017900	SB01G039160	BD5G12010
SB08G015280	SB03G044450	BD4G07110
SB01G044460	SB08G017075	BD4G05710
SB08G015240	SB02G002270	BD1G78767
SB09G022245	SB09G022240	BD4G06441
SB08G013180	SB06G014270	BD4G07630
SB07G005520	SB03G010170	BD3G14900
SB07G015150	SB03G031820	BD3G22010
SB07G024450	SB07G024440	BD3G42680
SB03G000940	SB05G005101	BD2G07660
SB06G021590	SB04G025750	BD3G48520
SB10G028620	SB07G003670	BD3G16690
SB05G002290	SB08G001530	BD4G26480
SB02G004740	SB02G000480	BD1G55250
SB01G006570	SB06G016140	BD4G35010
SB08G001730	SB05G001750	BD4G43930
SB02G026700	SB07G023050	BD4G32220
SB08G018810	SB07G026500	BD4G04280
SB03G027590	SB03G025360	BD2G49410
SB00G00355	SB00G00290	BD4G07610
SB02G024420	SB07G004440	BD3G16010
SB03G010860	SB06G015375	BD2G10270
SB04G004790	SB09G021970	BD2G39750
SB09G018460	SB09G002160	BD2G27380
SB06G023420	SB06G025460	BD5G16530
SB06G018500	SB04G028110	BD3G59490
SB03G002230	SB10G001360	BD1G50610
SB06G003580	SB06G003570	BD5G04673
SB04G002420	SB04G002415	BD3G02740
SB06G014460	SB03G044485	BD5G08650
SB04G037120	SB04G037110	BD3G55260
SB02G043810	SB02G002970	BD1G16770
SB09G001180	SB09G001176	BD2G39150
SB07G028170	SB02G028060	BD4G33430
SB07G026280	SB06G025800	BD3G41180
SB09G003580	SB01G042960	BD1G70050
SB04G011040	SB10G009050	BD3G10380
SB02G011900	SB02G011895	BD4G38440
SB04G003150	SB10G029195	BD3G03532
SB03G007110	SB03G033580	BD2G02180
SB03G009500	SB03G005200	BD2G08820
SB01G044870	SB01G004040	BD1G72310
SB08G020025	SB02G039315	BD4G02910
SB00G00110	SB00G00220	BD4G20210
SB06G025620	SB06G025630	BD5G18610
SB01G008100	SB01G008090	BD1G08620
SB03G031150	SB03G030980	BD1G52374
SB04G006060	SB04G006040	BD3G06540
